Time,Tv_avg,rho_V_avg,Q_VL,Q_L,Q_V,V_L,B_L,BOG,drho_V_avg,dV_L,T_BOG,Q_Vw,Q_tot
0,239.834,0.889987,-3.63882e-11,10076.1,10076.1,44011.8,0.0197537,0.0197537,0,0,239.834,7053.27,27056.1
3600,239.949,0.889487,38.1128,10076.1,10046.1,44011.7,0.0197662,0.0258506,-1.38831e-07,-2.90002e-05,239.951,7032.29,27073.2
7200,240.068,0.888988,54.27,10076.1,10015.2,44011.6,0.0197622,0.0258165,-1.38146e-07,-2.89933e-05,240.071,7010.67,27067.7
10800,240.186,0.888493,65.8923,10076,9984.61,44011.5,0.019755,0.0257514,-1.36828e-07,-2.89823e-05,240.192,6989.23,27057.8
14400,240.302,0.888002,74.8021,10076,9954.22,44011.4,0.019746,0.0256894,-1.35624e-07,-2.89692e-05,240.312,6967.95,27045.4
18000,240.418,0.887516,82.4629,10076,9924.03,44011.3,0.0197361,0.0256309,-1.34518e-07,-2.89547e-05,240.432,6946.82,27031.9
21600,240.533,0.887034,89.276,10076,9894.05,44011.2,0.0197258,0.0255734,-1.33446e-07,-2.89394e-05,240.552,6925.84,27017.8
25200,240.647,0.886555,95.1824,10075.9,9864.27,44011.1,0.0197148,0.0255172,-1.32418e-07,-2.89234e-05,240.671,6904.99,27002.8
28800,240.761,0.88608,100.656,10075.9,9834.66,44011,0.0197037,0.0254628,-1.31433e-07,-2.8907e-05,240.791,6884.26,26987.5
32400,240.874,0.885609,105.626,10075.9,9805.24,44010.9,0.0196923,0.0254075,-1.30435e-07,-2.88902e-05,240.91,6863.67,26971.9
36000,240.986,0.885141,110.049,10075.9,9776,44010.8,0.0196805,0.0253554,-1.29517e-07,-2.88732e-05,241.028,6843.2,26955.8
39600,241.098,0.884677,114.47,10075.8,9746.91,44010.7,0.0196689,0.0253035,-1.28603e-07,-2.88559e-05,241.146,6822.84,26939.8
43200,241.209,0.884215,118.371,10075.8,9718.01,44010.6,0.0196569,0.0252513,-1.27687e-07,-2.88384e-05,241.265,6802.6,26923.5
46800,241.319,0.883757,122.186,10075.8,9689.25,44010.5,0.019645,0.0252,-1.2679e-07,-2.88208e-05,241.382,6782.48,26907.1
50400,241.429,0.883302,125.618,10075.8,9660.67,44010.4,0.0196329,0.0251495,-1.25918e-07,-2.88031e-05,241.5,6762.47,26890.5
54000,241.538,0.882851,129.027,10075.7,9632.24,44010.3,0.0196208,0.0250993,-1.2505e-07,-2.87854e-05,241.617,6742.56,26874
57600,241.646,0.882402,132.095,10075.7,9603.98,44010.2,0.0196086,0.0250501,-1.24208e-07,-2.87675e-05,241.734,6722.78,26857.3
61200,241.754,0.881956,135.194,10075.7,9575.84,44010.1,0.0195965,0.0250021,-1.23394e-07,-2.87496e-05,241.851,6703.09,26840.7
64800,241.862,0.881514,138.05,10075.7,9547.88,44010,0.0195842,0.0249523,-1.22538e-07,-2.87317e-05,241.967,6683.52,26823.9
68400,241.969,0.881074,140.79,10075.7,9520.06,44009.9,0.019572,0.0249044,-1.21728e-07,-2.87138e-05,242.083,6664.04,26807.2
72000,242.075,0.880637,143.424,10075.6,9492.4,44009.8,0.0195598,0.0248563,-1.20912e-07,-2.86958e-05,242.199,6644.68,26790.4
75600,242.18,0.880203,145.923,10075.6,9464.88,44009.7,0.0195475,0.0248094,-1.20124e-07,-2.86778e-05,242.315,6625.42,26773.6
79200,242.285,0.879772,148.373,10075.6,9437.5,44009.6,0.0195353,0.0247634,-1.19356e-07,-2.86599e-05,242.43,6606.25,26756.9
82800,242.39,0.879344,150.728,10075.6,9410.26,44009.5,0.0195231,0.0247152,-1.18537e-07,-2.8642e-05,242.545,6587.18,26740.1
86400,242.494,0.878919,152.926,10075.5,9383.19,44009.4,0.0195108,0.0246692,-1.17769e-07,-2.8624e-05,242.66,6568.23,26723.4
90000,242.597,0.878496,155.125,10075.5,9356.23,44009.3,0.0194986,0.0246254,-1.1705e-07,-2.86061e-05,242.774,6549.36,26706.7
93600,242.7,0.878076,157.254,10075.5,9329.42,44009.2,0.0194865,0.0245787,-1.16264e-07,-2.85882e-05,242.888,6530.59,26690
97200,242.803,0.877659,159.26,10075.5,9302.76,44009,0.0194743,0.024532,-1.1548e-07,-2.85704e-05,243.002,6511.93,26673.3
100800,242.904,0.877245,161.202,10075.4,9276.24,44008.9,0.0194621,0.0244882,-1.14759e-07,-2.85526e-05,243.116,6493.37,26656.7
104400,243.006,0.876833,163.118,10075.4,9249.84,44008.8,0.01945,0.0244454,-1.14062e-07,-2.85348e-05,243.229,6474.89,26640.1
108000,243.106,0.876423,164.998,10075.4,9223.58,44008.7,0.019438,0.0243999,-1.13301e-07,-2.85171e-05,243.342,6456.5,26623.6
111600,243.207,0.876017,166.761,10075.4,9197.47,44008.6,0.0194259,0.0243539,-1.1253e-07,-2.84994e-05,243.455,6438.23,26607
