Time,Tv_avg,rho_V_avg,Q_VL,Q_L,Q_V,Q_Vw,Q_env_w,Q_w_L,Q_tot,V_L,B_L,BOG,dV_L,Tw_avg,drho_V_avg,T_w_raw_0,T_w_raw_1,T_w_raw_2,T_w_raw_3,T_w_raw_4,T_w_raw_5,T_w_raw_6,T_w_raw_7,T_w_raw_8,T_w_raw_9,T_w_raw_10,T_w_raw_11,T_w_raw_12,T_w_raw_13,T_w_raw_14,T_w_raw_15,T_w_raw_16,T_w_raw_17,T_w_raw_18,T_w_raw_19,T_w_raw_20,T_w_raw_21,T_w_raw_22,T_w_raw_23,T_w_raw_24,T_w_raw_25,T_w_raw_26,T_w_raw_27,T_w_raw_28,T_w_raw_29,T_w_raw_30,T_w_raw_31,T_w_raw_32,T_w_raw_33,T_w_raw_34,T_w_raw_35,T_w_raw_36,T_w_raw_37,T_w_raw_38,T_w_raw_39,T_w_raw_40,T_w_raw_41,T_w_raw_42,T_w_raw_43,T_w_raw_44,T_w_raw_45,T_w_raw_46,T_V_raw_0,T_V_raw_1,T_V_raw_2,T_V_raw_3,T_V_raw_4,T_V_raw_5,T_V_raw_6,T_V_raw_7,T_V_raw_8,T_V_raw_9,T_V_raw_10,T_V_raw_11,T_V_raw_12,T_V_raw_13,T_V_raw_14,T_V_raw_15,T_V_raw_16,T_V_raw_17,T_V_raw_18,T_V_raw_19,T_V_raw_20,T_V_raw_21,T_V_raw_22,T_V_raw_23,T_V_raw_24,T_V_raw_25,T_V_raw_26,T_V_raw_27,T_V_raw_28,T_V_raw_29,T_V_raw_30,Q_b,Q_L_inst,T_BOG
0,239.834,0.889961,-3.42315e-11,1.26195e+06,1007.61,705.327,-1.97071e-09,-1.26195e+06,1.27258e+06,83622.5,0.929116,0.929116,0,278.211,0,241.531,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,9926.68,19139.7,239.834
1728,239.888,0.889746,21.8562,138206,1030.85,721.592,-6179.43,-138206,149118,83622,0.108871,0.109219,-0.000224305,275.093,-1.24239e-07,240.016,245.968,251.687,256.981,261.7,265.752,269.103,271.775,273.828,275.349,276.435,277.185,277.684,278.006,278.205,278.325,278.395,278.435,278.456,278.467,278.473,278.476,278.477,278.478,278.478,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.48,278.481,278.482,278.485,278.491,278.499,278.513,278.535,278.567,278.616,278.687,278.786,278.922,279.105,279.344,239.834,239.851,239.863,239.873,239.88,239.885,239.888,239.89,239.891,239.892,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,239.893,10168.1,19605.2,239.893
3456,239.939,0.889531,31.9006,97046.6,1053.7,737.591,-8869.98,-97046.6,108222,83621.7,0.0790132,0.0794428,-0.000121985,273.76,-1.22255e-07,239.964,244.184,248.321,252.302,256.06,259.542,262.709,265.535,268.011,270.14,271.935,273.423,274.633,275.599,276.356,276.939,277.379,277.706,277.945,278.115,278.235,278.319,278.375,278.413,278.438,278.454,278.465,278.472,278.478,278.483,278.488,278.495,278.504,278.516,278.533,278.557,278.589,278.632,278.69,278.766,278.864,278.99,279.148,279.345,279.588,279.883,280.237,239.834,239.859,239.879,239.896,239.91,239.921,239.93,239.936,239.941,239.945,239.948,239.95,239.951,239.952,239.952,239.953,239.953,239.953,239.953,239.953,239.953,239.953,239.953,239.953,239.953,239.953,239.953,239.953,239.953,239.953,239.953,10405.8,20063.4,239.953
5184,239.988,0.889324,39.8004,79076.9,1075.82,753.075,-10760.4,-79076.9,90505.6,83621.5,0.0660785,0.0665125,-9.98106e-05,272.788,-1.18745e-07,239.94,243.39,246.794,250.111,253.304,256.338,259.186,261.826,264.243,266.427,268.378,270.097,271.595,272.883,273.978,274.896,275.657,276.28,276.784,277.187,277.505,277.753,277.945,278.091,278.202,278.287,278.35,278.4,278.439,278.472,278.502,278.533,278.566,278.605,278.651,278.709,278.78,278.868,278.977,279.109,279.271,279.465,279.698,279.973,280.297,280.674,281.11,239.834,239.865,239.892,239.915,239.935,239.951,239.965,239.976,239.985,239.992,239.998,240.003,240.006,240.008,240.01,240.012,240.013,240.013,240.014,240.014,240.014,240.015,240.015,240.015,240.015,240.015,240.015,240.015,240.015,240.015,240.015,10635.9,20507.1,240.015
6912,240.036,0.889121,46.6305,68421.4,1096.83,767.784,-12148,-68421.4,80090.6,83621.4,0.0584745,0.0589067,-8.76878e-05,272.008,-1.159e-07,239.926,242.916,245.876,248.778,251.599,254.313,256.902,259.347,261.636,263.757,265.706,267.478,269.076,270.503,271.766,272.872,273.834,274.661,275.367,275.963,276.463,276.879,277.222,277.503,277.732,277.919,278.072,278.198,278.304,278.395,278.477,278.555,278.633,278.715,278.806,278.908,279.026,279.164,279.324,279.512,279.732,279.987,280.282,280.621,281.008,281.448,281.945,239.834,239.871,239.903,239.932,239.957,239.978,239.996,240.012,240.025,240.036,240.045,240.052,240.058,240.063,240.066,240.069,240.071,240.073,240.074,240.075,240.076,240.076,240.077,240.077,240.077,240.077,240.078,240.078,240.078,240.078,240.078,10854.8,20929.2,240.078
8640,240.083,0.888923,52.7832,61169.5,1116.38,781.469,-13155.5,-61169.5,73062.8,83621.2,0.0533434,0.0537716,-7.97207e-05,271.353,-1.13348e-07,239.916,242.592,245.246,247.858,250.412,252.888,255.272,257.549,259.709,261.741,263.64,265.401,267.021,268.501,269.844,271.052,272.132,273.09,273.934,274.672,275.315,275.869,276.346,276.754,277.103,277.4,277.654,277.872,278.063,278.232,278.386,278.529,278.67,278.81,278.957,279.114,279.287,279.478,279.693,279.935,280.209,280.518,280.867,281.258,281.697,282.186,282.728,239.834,239.876,239.914,239.947,239.976,240.002,240.025,240.045,240.062,240.076,240.088,240.099,240.107,240.114,240.12,240.125,240.129,240.132,240.134,240.136,240.137,240.138,240.139,240.14,240.14,240.141,240.141,240.141,240.141,240.141,240.141,11059.1,21323,240.141
10368,240.129,0.888729,58.4468,55829.2,1134.15,793.902,-13866.2,-55829.2,67927.1,83621.1,0.0495938,0.0500163,-7.39694e-05,270.787,-1.10903e-07,239.909,242.353,244.779,247.175,249.525,251.815,254.034,256.17,258.214,260.157,261.993,263.717,265.327,266.819,268.196,269.456,270.606,271.645,272.583,273.422,274.171,274.835,275.423,275.939,276.395,276.795,277.149,277.461,277.742,277.995,278.229,278.448,278.66,278.868,279.08,279.299,279.531,279.779,280.05,280.346,280.671,281.03,281.427,281.863,282.344,282.87,283.446,239.834,239.881,239.923,239.961,239.995,240.025,240.052,240.075,240.096,240.114,240.129,240.143,240.154,240.164,240.172,240.179,240.184,240.189,240.193,240.196,240.198,240.2,240.202,240.203,240.204,240.204,240.205,240.205,240.206,240.206,240.206,11245.5,21682.5,240.206
12096,240.174,0.88854,63.7213,51686.2,1149.82,804.873,-14339.8,-51686.2,63965.9,83621,0.0467017,0.0471174,-6.95683e-05,270.288,-1.08454e-07,239.904,242.167,244.417,246.641,248.83,250.971,253.055,255.071,257.014,258.873,260.646,262.324,263.908,265.393,266.779,268.065,269.254,270.346,271.347,272.258,273.087,273.835,274.511,275.118,275.666,276.157,276.602,277.003,277.37,277.707,278.022,278.318,278.604,278.884,279.163,279.447,279.74,280.048,280.374,280.722,281.098,281.503,281.941,282.416,282.931,283.486,284.085,239.834,239.885,239.932,239.974,240.012,240.046,240.077,240.104,240.128,240.15,240.168,240.185,240.199,240.211,240.222,240.231,240.238,240.245,240.25,240.254,240.258,240.261,240.263,240.265,240.267,240.268,240.269,240.27,240.27,240.271,240.271,11411.1,22001.8,240.271
13824,240.218,0.888355,68.6629,48357.6,1163.14,814.198,-14607.8,-48357.6,60793.8,83620.9,0.0443858,0.0447935,-6.60586e-05,269.84,-1.0593e-07,239.899,242.017,244.125,246.211,248.268,250.286,252.256,254.171,256.025,257.809,259.521,261.153,262.705,264.172,265.555,266.85,268.061,269.187,270.23,271.194,272.081,272.895,273.642,274.324,274.949,275.521,276.045,276.527,276.973,277.389,277.78,278.152,278.51,278.859,279.206,279.553,279.908,280.272,280.652,281.051,281.473,281.92,282.396,282.904,283.445,284.022,284.635,239.834,239.889,239.94,239.986,240.028,240.066,240.1,240.131,240.159,240.184,240.206,240.225,240.242,240.257,240.27,240.281,240.291,240.299,240.306,240.312,240.317,240.321,240.325,240.328,240.33,240.332,240.333,240.334,240.335,240.335,240.336,11553.3,22276,240.336
15552,240.261,0.888174,73.3062,45611.6,1173.88,821.717,-14689.7,-45611.6,58176.5,83620.8,0.0424748,0.0428735,-6.31728e-05,269.432,-1.03282e-07,239.895,241.894,243.883,245.855,247.802,249.716,251.591,253.419,255.194,256.912,258.567,260.155,261.673,263.119,264.49,265.787,267.008,268.154,269.228,270.229,271.161,272.027,272.83,273.574,274.264,274.903,275.498,276.051,276.569,277.056,277.517,277.959,278.385,278.8,279.21,279.618,280.03,280.449,280.879,281.324,281.788,282.272,282.781,283.315,283.877,284.467,285.088,239.834,239.893,239.947,239.997,240.043,240.085,240.123,240.157,240.188,240.216,240.241,240.264,240.284,240.301,240.317,240.33,240.342,240.352,240.361,240.369,240.375,240.381,240.385,240.389,240.392,240.395,240.397,240.398,240.399,240.4,240.4,11669.9,22500.7,240.4
